"filename", "language", "Python", "HTML", "JavaScript", "sqlite3-editor-database", "XML", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\static\js\admin_clear_buttons.js", "JavaScript", 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Jolan\Desktop\proximitylinked\static\maps\europe.svg", "XML", 0, 0, 0, 0, 396, 0, 3, 399
"c:\Users\Jolan\Desktop\proximitylinked\templates\base.html", "HTML", 0, 73, 0, 0, 0, 1, 6, 80
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\admin.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\apps.py", "Python", 4, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\forms.py", "Python", 45, 0, 0, 0, 0, 1, 7, 53
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\0001_initial.py", "Python", 22, 0, 0, 0, 0, 1, 7, 30
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\models.py", "Python", 19, 0, 0, 0, 0, 1, 7, 27
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\edit_profile.html", "HTML", 0, 96, 0, 0, 0, 0, 24, 120
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\templates\userprofile\profile.html", "HTML", 0, 153, 0, 0, 0, 0, 39, 192
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\tests.py", "Python", 1, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\urls.py", "Python", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Jolan\Desktop\proximitylinked\userprofile\views.py", "Python", 43, 0, 0, 0, 0, 1, 11, 55
"Total", "-", 1867, 1414, 13, 86, 396, 103, 809, 4688
