"filename", "language", "Python", "CSS", "JavaScript", "XML", "HTML", "Batch", "Markdown", "sqlite3-editor-database", "comment", "blank", "total"
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\calendar.js", "JavaScript", 0, 0, 196, 0, 0, 0, 0, 0, 28, 16, 240
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\cancel.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 3, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\change_form.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 1, 17
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\core.js", "JavaScript", 0, 0, 148, 0, 0, 0, 0, 0, 19, 18, 185
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\filters.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 5, 31
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\inlines.js", "JavaScript", 0, 0, 272, 0, 0, 0, 0, 0, 61, 27, 360
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\jquery.init.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\nav_sidebar.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\popup_response.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 10, 5, 44
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\prepopulate_init.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\theme.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 3, 6, 52
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\unusable_password_field.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 5, 1, 30
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\urlify.js", "JavaScript", 0, 0, 159, 0, 0, 0, 0, 0, 5, 6, 170
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.js", "JavaScript", 0, 0, 6767, 0, 0, 0, 0, 0, 1887, 2063, 10717
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\af.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ar.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\az.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\bg.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
