Date : 2025-05-12 17:04:57
Directory : c:\Users\Jolan\Desktop\proximitylinked
Total : 169 files,  28974 codes, 4488 comments, 6618 blanks, all 40080 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\nl.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\pl.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ps.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\pt-BR.js                 | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\pt.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ro.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\ru.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sk.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sl.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sq.js                    | JavaScript |          1 |          1 |          1 |          3 |
| c:\Users\Jolan\Desktop\proximitylinked\staticfiles\admin\js\vendor\select2\i18n\sr-Cyrl.js               | JavaScript |          1 |          1 |          1 |          3 |
